UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
5,12.9,16,74.5,511.4759276,79.63,26,13.4,24.10109059,39791,4893,17332850,0.002295699
6,12.5,13,73.1,2029.4,72.69,19,21.2,171.4518987,6524,437,390144,0.016722031
5,10.6,17.9,62,27012.5,72.69,19,15,87.48331712,22496,1943,8336817,0.002698392
4,20.3,15.8,85,18.38517337,83.33,34,16.9,160.1065312,1485,20,4917000,0.000302013
4,18.8,19.7,78.9,244.1,72.69,16,9.7,151.9196278,259,3,108860,0.002379203
4,14.4,16,63,82.59151467,84.26,48,19,34.52542468,1494,81,2083459,0.000717077
6,25.8,12,65,14.54829163,67.59,7,7.3,60.82315982,7783,210,5347896,0.001455339
6,17.4,18.7,70.6,956.4,72.69,27,32.2,180.6699283,822,31,655158,0.001254659
3,18.6,12.3,65.1,14.8,72.69,9,12.5,83.1558259,17880,1265,13448494,0.001329517
6,34.1,12,40,275.2893187,89.81,94,29,22.25359211,19103,440,216565318,8.82E-05
4,18.2,14,70,124.0234822,83.33,61,20.6,65.65771144,13105,651,37970874,0.000345133
3,14.7,8,68,79.8376858,96.3,30,16,65.92218966,9009,179,6944975,0.001297197
7,15,9,84,7952.998418,76.85,41,26.7,221.4356388,17101,16,5703569,0.002998298
3,15.9,14,64,113.2855865,73.15,56,14.7,55.11846696,1403,23,5454073,0.000257239
6,27.3,7.6,57.7,47.63011978,84.26,16,15.1,24.00136627,5951,116,58558270,0.000101625
5,14.1,12,65,529.3585013,43.52,37,20.6,99.21339899,10780,250,51709098,0.000208474
5,17.1,17,54,93.67719744,85.19,47,17.8,39.10674128,215216,24543,47076781,0.004571595
6,11.2,8,79.5,345.558922,79.63,76,29.7,107.641977,690,7,21803000,3.16E-05
7,17.9,16,80,658,31.48,46,25,219.4133633,429,6,23855010,1.80E-05
7,13.8,9,75,135.8972068,76.85,52,31.1,159.7034563,2960,54,69625582,4.25E-05
6,22.2,17,70,106.9601289,75.93,67,18.2,24.66049812,122392,3258,83429615,0.001467009
4,20.6,14.4,62,77.0296708,88.89,18,17,41.09552714,10861,272,44385155,0.000244699
9,22.3,9,50,135.6091101,81.48,111,35.7,8.584159066,13038,111,9770529,0.001334421
5,6.8,10.6,70,274.7089819,79.63,43,10.6,49.46567242,182270,27381,66834405,0.002727188
3,9.5,20,56,27,69.44,26,9.8,45.77354434,1371,18,4485213,0.000305671
7,14.7,9,80,308.1252459,76.85,65,31.1,95.77276395,270,0,96462106,2.80E-06
4,25.6,15,57.25,1360.9,72.69,13,10,31.95497719,5670,94,932546,0.006080129
6,16.4,36,72.7,44,72.69,24,30,151.0255534,13,0,30032,0.000432872
3,14.9,14,65.35,107.1279669,64.81,16,13.9,98.84414232,15558,596,8877067,0.001752606
7,11.4,8,77.5,1239.579312,89.81,114,25.4,333.5376438,8790,175,163046161,5.39E-05
6,24.4,12,55.5,1300,56.94,63,25.5,112.010747,593,9,21516000,2.76E-05
5,8,12,75,377.3795905,81.48,29,9.9,53.38691952,49517,7765,11484055,0.004311804
6,20.2,9,80,25.06171624,77.31,91,20.3,91.05162031,97100,6761,211049527,0.000460082
3,20.6,12.5,73.15,5492.6,72.69,17,16,33.90124705,2171,114,631486,0.003437923
8,34.3,17.2,21.1,247.3,72.69,26,33.9,2.985640625,4274,215,2266715,0.001885548
7,19.8,13.4,67,2026.4,72.69,25,27.2,115.2612176,1768,96,760141,0.002325884
5,13.1,17,78,97.91306306,72.22,32,19,394.2717339,733,6,5047561,0.000145219
3,8.8,27,71.5,137.6577053,57.41,13,10.6,100.4716186,7755,245,10669709,0.000726824
4,27.3,19,75,137.9765658,68.52,28,11,38.5649673,9407,475,5818553,0.001616725
